Geneid	Samtools sort on data 96
AT1G01010	384
AT1G01020	356
AT1G03987	69
AT1G01030	631
AT1G01040	1620
AT1G03993	0
AT1G01046	4
AT1G01050	992
AT1G03997	0
AT1G01060	854
AT1G01070	19
AT1G04003	0
AT1G01080	771
AT1G01090	2307
AT1G01100	1655
AT1G01110	134
AT1G01120	476
AT1G01130	15
AT1G01140	2429
AT1G01150	0
AT1G01160	842
AT1G04007	12
AT1G01170	283
AT1G04013	2
AT1G01180	174
AT1G08765	0
AT1G01183	0
AT1G01190	9
AT1G01200	13
AT1G01210	161
AT1G04017	0
AT1G01220	310
AT1G04023	0
AT1G01225	14
AT1G01230	407
AT1G01240	638
AT1G01250	60
AT1G01260	1589
AT1G01270	0
AT1G01280	0
AT1G01290	577
AT1G01300	1373
AT1G01305	0
AT1G01310	2
AT1G01320	8625
AT1G01335	0
AT1G01340	178
AT1G01350	551
AT1G01355	7
AT1G01360	338
AT1G01370	8
AT1G01380	3
AT1G01390	36
AT1G01400	0
AT1G01410	0
AT1G01420	234
AT1G01430	477
AT1G01440	483
AT1G01448	146
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	4180
AT1G01480	107
AT1G01490	5363
AT1G01500	573
AT1G01510	679
AT1G01520	66
AT1G01530	0
AT1G01540	888
AT1G01550	4701
AT1G01560	64
AT1G01570	26
AT1G01580	11
AT1G01590	7
AT1G01600	6
AT1G01610	155
AT1G01620	3316
AT1G01630	554
AT1G01640	97
AT1G01650	4771
AT1G04027	32
AT1G01660	328
AT1G01670	63
AT1G01680	158
AT1G01690	45
AT1G01695	4
AT1G08775	5
AT1G04033	0
AT1G04037	4
AT1G01700	103
AT1G01710	1247
AT1G01715	81
AT1G01720	844
AT1G04043	0
AT1G01725	328
AT1G04047	7
AT1G01730	692
AT1G01740	181
AT1G01750	6
AT1G04053	8
AT1G01760	74
AT1G04057	0
AT1G01770	693
AT1G01780	338
AT1G01790	963
AT1G04063	0
AT1G01800	1999
AT1G01810	30
AT1G01820	1326
AT1G01830	330
AT1G04067	0
AT1G01840	3
AT1G01860	197
AT1G04073	4
AT1G01870	0
AT1G01880	31
AT1G01890	0
AT1G01900	166
AT1G04077	0
AT1G01910	1002
AT1G04083	0
AT1G01920	605
AT1G01930	585
AT1G01940	524
AT1G01950	154
AT1G01960	2005
AT1G01970	515
AT1G01980	0
AT1G01990	1600
AT1G02000	297
AT1G02010	197
AT1G02020	533
AT1G02030	3
AT1G02040	3
AT1G02050	360
AT1G02060	419
AT1G02065	0
AT1G02067	0
AT1G02070	2
AT1G02080	2832
AT1G02090	1300
AT1G02100	2694
AT1G02110	404
AT1G02120	1836
AT1G02130	1279
AT1G04087	0
AT1G02136	0
AT1G02140	2797
AT1G02145	604
AT1G02150	2939
AT1G02160	377
AT1G02170	992
AT1G02180	41
AT1G02190	0
AT1G02205	914
AT1G08785	0
AT1G04093	0
AT1G02210	0
AT1G02220	163
AT1G02228	0
AT1G02230	11
AT1G02250	0
AT1G02260	328
AT1G02270	437
AT1G08795	2
AT1G02280	1112
AT1G02290	296
AT1G02300	837
AT1G02305	1883
AT1G04097	0
AT1G02310	4
AT1G04103	0
AT1G02320	0
AT1G02330	544
AT1G02335	204
AT1G02340	49
AT1G02350	6
AT1G04107	30
AT1G02360	3
AT1G02370	295
AT1G02380	19
AT1G02390	26
AT1G02400	27
AT1G02405	104
AT1G02410	485
AT1G02420	26
AT1G04117	0
AT1G02430	15
AT1G04123	0
AT1G02440	10
AT1G02450	13
AT1G02460	910
AT1G02470	1285
AT1G02475	1725
AT1G02480	0
AT1G02490	0
AT1G02500	36429
AT1G02510	0
AT1G02520	79
AT1G02530	0
AT1G02540	0
AT1G02550	0
AT1G02560	6281
AT1G02570	0
AT1G02575	0
AT1G02580	3
AT1G08805	0
AT1G04127	0
AT1G02590	0
AT1G02600	0
AT1G02610	186
AT1G02620	9
AT1G04133	0
AT1G04137	0
AT1G02630	1
AT1G02640	73
AT1G02650	3
AT1G02660	279
AT1G02670	12
AT1G02680	414
AT1G02681	1
AT1G04143	0
AT1G02690	166
AT1G02700	18
AT1G02705	1
AT1G02710	0
AT1G02720	113
AT1G02730	55
AT1G02740	276
AT1G02750	387
AT1G02760	0
AT1G02770	46
AT1G02780	7019
AT1G02790	0
AT1G02800	1
AT1G02810	0
AT1G02813	0
AT1G02816	352
AT1G02820	55
AT1G02830	0
AT1G02840	3505
AT1G02850	567
AT1G02860	146
AT1G04147	0
AT1G02870	533
AT1G04153	7
AT1G08815	10
AT1G02880	360
AT1G02890	4026
AT1G02900	20
AT1G02910	1003
AT1G02920	151
AT1G02930	180
AT1G02940	2
AT1G02950	25
AT1G02952	0
AT1G02960	414
AT1G02965	0
AT1G02970	2
AT1G02980	3
AT1G02990	1132
AT1G03000	487
AT1G03010	4
AT1G03020	135
AT1G03030	247
AT1G03040	1102
AT1G03050	0
AT1G03055	63
AT1G03060	1140
AT1G03070	87
AT1G03080	4914
AT1G03090	640
AT1G04157	0
AT1G03100	70
AT1G04163	0
AT1G03103	0
AT1G03106	17
AT1G03110	194
AT1G03120	2
AT1G03130	11643
AT1G03140	1621
AT1G03150	358
AT1G04167	0
AT1G03160	1211
AT1G03165	5
AT1G04173	0
AT1G03170	18
AT1G03180	21
AT1G03190	267
AT1G04177	0
AT1G03200	1
AT1G03210	122
AT1G03220	174
AT1G03230	52
AT1G03240	0
AT1G03250	911
AT1G03260	155
AT1G03270	15
AT1G03280	1595
AT1G03290	1252
AT1G03300	0
AT1G03310	1223
AT1G03320	2
AT1G03325	0
AT1G03330	1002
AT1G03340	104
AT1G03350	1263
AT1G03360	288
AT1G03365	786
AT1G03370	459
AT1G03380	2124
AT1G03390	0
AT1G03395	0
AT1G03400	595
AT1G03410	48
AT1G04183	3
AT1G03420	0
AT1G03430	235
AT1G03440	346
AT1G03445	3
AT1G03457	10
AT1G03470	153
AT1G03475	2516
AT1G03490	0
AT1G03495	213
AT1G04187	0
AT1G04193	0
AT1G03502	0
AT1G03506	0
AT1G04197	0
AT1G03510	42
AT1G03515	0
AT1G03520	223
AT1G03530	585
AT1G03540	30
AT1G03550	84
AT1G03545	22
AT1G08825	146
AT1G03560	272
