Geneid	Samtools sort on data 98
AT1G01010	517
AT1G01020	148
AT1G03987	0
AT1G01030	62
AT1G01040	1275
AT1G03993	0
AT1G01046	3
AT1G01050	1029
AT1G03997	0
AT1G01060	262
AT1G01070	327
AT1G04003	0
AT1G01080	1199
AT1G01090	2330
AT1G01100	1832
AT1G01110	7
AT1G01120	503
AT1G01130	6
AT1G01140	5953
AT1G01150	0
AT1G01160	849
AT1G04007	14
AT1G01170	690
AT1G04013	1
AT1G01180	1075
AT1G08765	0
AT1G01183	0
AT1G01190	23
AT1G01200	0
AT1G01210	150
AT1G04017	0
AT1G01220	617
AT1G04023	0
AT1G01225	9
AT1G01230	908
AT1G01240	2313
AT1G01250	12
AT1G01260	493
AT1G01270	0
AT1G01280	0
AT1G01290	425
AT1G01300	683
AT1G01305	0
AT1G01310	0
AT1G01320	10920
AT1G01335	0
AT1G01340	467
AT1G01350	477
AT1G01355	24
AT1G01360	421
AT1G01370	3
AT1G01380	3
AT1G01390	309
AT1G01400	0
AT1G01410	0
AT1G01420	609
AT1G01430	1869
AT1G01440	1188
AT1G01448	175
AT1G01450	0
AT1G01453	4
AT1G01460	1
AT1G01470	5933
AT1G01480	79
AT1G01490	3956
AT1G01500	946
AT1G01510	718
AT1G01520	5
AT1G01530	6
AT1G01540	1058
AT1G01550	8988
AT1G01560	356
AT1G01570	25
AT1G01580	73
AT1G01590	26
AT1G01600	6
AT1G01610	759
AT1G01620	6394
AT1G01630	1643
AT1G01640	151
AT1G01650	1553
AT1G04027	12
AT1G01660	26
AT1G01670	145
AT1G01680	515
AT1G01690	72
AT1G01695	3
AT1G08775	1
AT1G04033	0
AT1G04037	4
AT1G01700	36
AT1G01710	1320
AT1G01715	52
AT1G01720	1061
AT1G04043	0
AT1G01725	152
AT1G04047	4
AT1G01730	699
AT1G01740	271
AT1G01750	5
AT1G04053	3
AT1G01760	69
AT1G04057	0
AT1G01770	839
AT1G01780	310
AT1G01790	3540
AT1G04063	0
AT1G01800	1796
AT1G01810	21
AT1G01820	2261
AT1G01830	945
AT1G04067	0
AT1G01840	0
AT1G01860	244
AT1G04073	10
AT1G01870	0
AT1G01880	25
AT1G01890	0
AT1G01900	29
AT1G04077	0
AT1G01910	1169
AT1G04083	0
AT1G01920	391
AT1G01930	567
AT1G01940	301
AT1G01950	358
AT1G01960	3934
AT1G01970	489
AT1G01980	0
AT1G01990	915
AT1G02000	428
AT1G02010	261
AT1G02020	569
AT1G02030	0
AT1G02040	0
AT1G02050	195
AT1G02060	243
AT1G02065	0
AT1G02067	0
AT1G02070	0
AT1G02080	3580
AT1G02090	705
AT1G02100	1364
AT1G02110	235
AT1G02120	3607
AT1G02130	1391
AT1G04087	0
AT1G02136	0
AT1G02140	2219
AT1G02145	539
AT1G02150	2224
AT1G02160	439
AT1G02170	1438
AT1G02180	18
AT1G02190	2
AT1G02205	148
AT1G08785	0
AT1G04093	0
AT1G02210	0
AT1G02220	204
AT1G02228	0
AT1G02230	106
AT1G02250	0
AT1G02260	524
AT1G02270	865
AT1G08795	6
AT1G02280	656
AT1G02290	333
AT1G02300	1436
AT1G02305	3302
AT1G04097	3
AT1G02310	3
AT1G04103	0
AT1G02320	0
AT1G02330	623
AT1G02335	19
AT1G02340	354
AT1G02350	26
AT1G04107	137
AT1G02360	267
AT1G02370	301
AT1G02380	20
AT1G02390	362
AT1G02400	265
AT1G02405	16
AT1G02410	689
AT1G02420	24
AT1G04117	0
AT1G02430	22
AT1G04123	0
AT1G02440	22
AT1G02450	128
AT1G02460	180
AT1G02470	154
AT1G02475	1904
AT1G02480	0
AT1G02490	0
AT1G02500	12671
AT1G02510	0
AT1G02520	845
AT1G02530	13
AT1G02540	0
AT1G02550	0
AT1G02560	9071
AT1G02570	0
